208	5/25/18	Palmgrove b/stop inward Egba by BRT lane	Shomolu	Other	2:44 PM	3:14 PM	30
209	5/24/18	Olajide Street, Berger	Ikeja	Responded, crash was already addressed	10:42 AM	11:18 AM	36
213	4/1/18	Zenith Back Alausa	Ikeja	Responded, addressed crash	8:13 PM	8:23 PM	10
214	4/1/18	Zenith Bank Alausa	Ikeja	Responded, addressed crash	8:13 PM	8:23 PM	10
215	4/1/18	Zenith Bank Alausa	Ikeja	Responded, addressed crash	8:13 PM	8:23 PM	10
216	3/1/18	7up Pedestrian Bridge	Ikeja	Responded, addressed crash	11:44 AM	11:46 AM	2
217	4/1/18	7up Pedestrian Bridge	Kosofe	Responded, addressed crash	11:44 AM	11:46 AM	2
218	4/1/18	7up Pedestrian Bridge	Ikeja	Responded, addressed crash	11:44 AM	11:46 AM	2
219	4/1/18	7up Pedestrian Bridge	Kosofe	Responded, addressed crash	11:44 AM	11:46 AM	2
221	4/12/18	Amos Petrol Station Awoyaya	Eti Osa	Responded, no crash (false call)	1:30 PM	2:06 PM	36
222	4/11/18		Lagos Island	Responded, addressed crash	12:18 PM	12:30 PM	12
223	4/11/18	Iponri Estate	Surulere	Responded, addressed crash	9:24 PM	9:54 PM	30
224	4/13/18	3rd Mainland Bridge inward Adeniji	Lagos Mainland	Responded, addressed crash	11:30 AM	11:40 AM	10
225	4/13/18	Otto Bustop inward Oyingbo	Lagos Mainland	Responded, no crash (false call)	4:12 PM	4:25 PM	13
226	4/7/18	Osborne road, Dolphin Estate	Eti Osa	Responded, crash was already addressed	11:53 AM	12:10 PM	17
227	4/11/18	Inside Shoprite Mall	Eti Osa	Responded, addressed crash	3:30 PM	4:00 PM	30
228	4/7/18	Ozomba Mbadiwe Road	Eti Osa	Responded, crash was already addressed	9:06 PM	9:32 PM	26
230	4/13/18	Trauma Center	Ikeja	Responded, addressed crash	3:05 PM	3:15 PM	10
231	4/4/18	Cement inward iyoma-ipaya	Eti Osa	Responded, no crash (false call)	7:52 PM	8:15 PM	23
232	4/4/18	Airport road by mobile filling station	Ikeja	Responded, addressed crash	8:45 PM	9:10 PM	25
233	4/4/18	Ilase B/Stop	Ikeja	Responded, addressed crash	8:21 AM	8:55 AM	34
234	4/4/18	Ilasa Itire Rd	Mushin	Responded, addressed crash	8:21 AM	8:55 AM	34
235	4/4/18	Ilasa B/Stop	Surulere	Responded, addressed crash	8:21 AM	8:55 AM	34
236	4/4/18	Ilasa B/Stop	Surulere	Responded, addressed crash	8:21 AM	8:55 AM	34
237	4/4/18	Ilasamaga bustop inward Oshodi	Mushin	Responded, addressed crash	8:35 AM	9:00 AM	25
238	4/4/18	Ilasa bstop	Apapa	Responded, addressed crash	8:35 AM	9:00 AM	25
239	4/2/18	Pako Bus Stop, Ayobo Ipaja road	Oshodi Isolo	Responded, addressed crash	5:16 AM	5:46 AM	30
240	4/5/18	Otedola bridge inwards Secretarist	Alimosho	Responded, crash was already addressed	7:36 AM	7:42 AM	6
241	4/4/18	Gbadebo str Ojota B/Stop	Ikeja	Responded, no crash (false call)	3:18 PM	3:36 PM	18
243	4/2/18	Ojodu Secondary School	Ikeja	Responded, addressed crash	12:17 PM	12:58 PM	41
244	4/2/18	Ojodu Secondary School	Ikeja	Responded, addressed crash	12:17 PM	12:58 PM	41
246	4/3/18		Ikeja	Responded, crash was already addressed	9:24 PM	9:38 PM	14
247	4/6/18	Anthony B/Stop inward Palm	Shomolu	Responded, addressed crash	9:54 PM	10:26 PM	32
248	4/6/18	Accident @ Kola B/Stop	Ifako Ijaiye	Responded, crash was already addressed	9:03 AM	10:09 AM	66
249	4/6/18	Akeswayor r/about inward Egbeda	Alimosho	Responded, addressed crash	2:35 PM	3:01 PM	26
251	4/7/18	Mason New Bridge inward Meiran	Alimosho	Responded, no crash (false call)	7:45 PM	9:00 PM	75
252	4/7/18	Ishaga Road Statwen Bustop inward Alambutu	Agege	Other	11:08 AM	11:50 AM	42
253	4/3/18	Bolade infront of First Bank	Oshodi Isolo	Responded, crash was already addressed	6:38 PM	6:42 PM	4
254	3/25/18	Oshodi Isale inward Mile 2	Oshodi Isolo	Responded, no crash (false call)	10:28 PM	10:46 PM	18
255	4/1/18	Abattior infront of police station	Agege	Responded, addressed crash	11:30 PM	12:03 AM	33
256	4/18/18	Fadeyi Ojuelegba descent	Shomolu	Responded, no crash (false call)	9:21 AM	9:40 AM	19
257	4/18/18	Alapere R/About outward Ketu	Kosofe	Responded, addressed crash	10:18 AM	10:58 AM	40
258	4/18/18	Kola b/stop inward Ijaiye Agbado	Ifako Ijaiye	Responded, no crash (false call)	10:23 PM	11:16 PM	53
260	4/17/18	Akilo Road Egba	Ikeja	Responded, no crash (false call)	10:09 AM	10:30 AM	21
261	4/18/18	Berger inward Kara Bridge	Ikeja	Responded, crash was already addressed	7:26 AM	7:32 AM	6
262	4/18/18	Abiola garden inward ojodu	Ikeja	Responded, addressed crash	12:18 PM	12:26 PM	8
264	4/18/18	Infront of Ministry of Environment	Ikeja	Responded, no crash (false call)	12:55 PM	1:07 PM	12
265	4/18/18	Abiola garden inward Ojudu	Ikeja	Responded, addressed crash	12:18 PM	12:26 PM	8
266	4/6/18	Infront of New Min of Land	Ikeja	Responded, addressed crash	9:00 AM	10:02 AM	62
267	4/8/18	Olopomeji inward 3rd mainland bridge	Kosofe	Responded, no crash (false call)	1:30 AM	1:37 AM	7
268	4/1/18	Agindingbi by Daily Times B/Stop	Ikeja	Responded, crash was already addressed	7:24 PM	7:40 PM	16
269	4/19/18	Zenith bank CMD road Irosi	Kosofe	Responded, crash was already addressed	11:00 PM	11:12 PM	12
270	4/19/18	Ojodu Berger Bomat bus stop birdmart Domino Plaza	Ikeja	Responded, no crash (false call)	11:42 PM	12:00 AM	18
271	4/2/18	Tofell Filling Station OPN Magodo inward Ojota	Kosofe	Responded, crash was already addressed	12:01 AM	12:10 AM	9
273	4/17/18	Pako b/stop infront of Access bank	Alimosho	Responded, addressed crash	6:40 PM	7:35 PM	55
274	4/12/18	Iyanapaja pleasure b/stop	Alimosho	Responded, crash was already addressed	2:44 PM	3:45 PM	61
275	4/12/18	Ikeja along underbridge	Ikeja	Responded, no crash (false call)	9:29 AM	9:43 AM	14
276	4/12/18	Underbridge Oshodi front of Planet One	Oshodi Isolo	Responded, no crash (false call)	9:58 AM	10:05 AM	7
277	4/14/18	Ijaiye b/stop inward bango	Ifako Ijaiye	Responded, crash was already addressed	10:55 PM	12:52 AM	117
280	4/8/18	Aguda road inward Ogba opposite Citi Bank	Ikeja	Responded, addressed crash	6:40 PM	7:21 PM	41
281	4/8/18	Along Agege Motor Rd, Inward capitol by National b/stop after Oando fl station	Ikeja	Responded, crash was already addressed	9:12 AM	9:40 AM	28
282	4/8/18	ijaiye b/stop by look	Ifako Ijaiye	Responded, crash was already addressed	10:16 PM	10:57 PM	41
285	4/5/18	Otedola  estate inward Otedola bridge close to estate	Ikeja	Responded, crash was already addressed	6:10 PM	6:26 PM	16
288	4/2/18	AIT Inward Amikanle Agbado close to bondpast/swist filling station	Ifako Ijaiye	Responded, crash was already addressed	8:22 PM	9:36 PM	74
290	4/2/18	China Town opp the App. Church	Kosofe	Responded, addressed crash	2:31 AM	2:35 AM	4
291	4/2/18	China Town opp. The Apostelic Church	Kosofe	Responded, addressed crash	2:31 AM	2:35 AM	4
292	4/21/18	Ojota	Kosofe	Responded, addressed crash	9:59 PM	10:09 PM	10
293	4/21/18	Gradsquare close to Conoil	Ikeja	Responded, addressed crash	7:45 AM	7:50 AM	5
294	4/21/18	7up/ grand square	Ikeja	Responded, addressed crash	7:45 AM	7:50 AM	5
295	4/21/18	Opp. trauma center	Ikeja	Responded, addressed crash	10:32 AM	10:34 AM	2
296	4/21/18	Opp. trauma center	Ikeja	Responded, addressed crash	10:32 AM	10:34 AM	2
297	4/21/18	Opp. trauma center	Ikeja	Responded, addressed crash	10:32 AM	10:34 AM	2
299	4/15/18	Chinese Town inward Alapere	Kosofe	Responded, addressed crash	6:15 AM	6:20 AM	5
300	4/14/18	Maryland b/stop inward Obanikoro	Kosofe	Responded, addressed crash	2:21 AM	2:34 AM	13
302	4/28/18	Oworonshoki outward New ---- inward Ketu	Kosofe	Responded, crash was already addressed	12:34 PM	12:49 PM	15
303	4/22/18	PPL bus stop inward Badagry	Ojo	Responded, no crash (false call)	3:38 AM	3:51 AM	13
304	4/27/18	Alafia bus stop inward Badagry, Ijanikin	Ojo	Other	9:45 AM	10:28 AM	43
305	3/26/18	Bolade inward Oshodi	Oshodi Isolo	Responded, no crash (false call)	12:59 PM	1:06 PM	7
308	4/17/18		Ojo	Other	5:05 PM	5:15 PM	10
310	4/28/18	Iyana-Ipaja u-bridge inward ile-eso	Agege	Responded, crash was already addressed	7:02 AM	7:57 AM	55
311	4/27/18	Ojota outward Maryland behind BRT	Kosofe	Responded, crash was already addressed	4:49 AM	5:04 AM	15
313	4/26/18	Charlie boy inward Anthony immediately after AP	Ikeja	Responded, addressed crash	1:47 PM	1:58 PM	11
316	4/14/18	Iyana-Ishashi b/s inward Badagry	Ojo	Responded, no crash (false call)	9:29 PM	9:59 PM	30
317	4/29/18	Egbeda Roundabout inward Ikotun	Alimosho	Responded, addressed crash	9:17 AM	9:39 AM	22
318	4/29/18	Underbridge Eloya inward Agege by Oba Akran	Ikeja	Other	2:11 PM	2:19 PM	8
319	4/24/18	7 & 8 Junction Airport Rd	Ikeja	Other	7:15 PM	7:35 PM	20
320	4/23/18	Brown Junction	Oshodi Isolo	Responded, addressed crash	12:32 PM	12:45 PM	13
321	4/24/18	Onipamu inward Anthony	Shomolu	Responded, no crash (false call)	8:35 PM	9:24 PM	49
322	4/19/18	Anthony B/Stop Ikorodu Road	Ikeja	Responded, no crash (false call)	7:38 AM	8:30 AM	52
323	4/23/18	Infront of Mobil f/station gate, Magodo	Ikeja	Responded, addressed crash	3:20 PM	3:52 PM	32
325	4/24/18	Chanly B/S Inward Airport	Shomolu	Responded, no crash (false call)	12:40 PM	1:05 PM	25
326	4/24/18	Palmgrove B/S inward Mangala	Shomolu	Responded, addressed crash	4:25 PM	4:50 PM	25
327	4/12/18	Close to Anthony	Shomolu	Responded, addressed crash	7:35 AM	8:15 AM	40
328	4/29/18	Egbeda Roundabout inward Ikotun	Alimosho	Responded, addressed crash	9:17 AM	9:39 AM	22
330	4/29/18	Ifako b/stop inward inyans ohoris	Shomolu	Responded, no crash (false call)	9:10 AM	9:23 AM	13
331	4/17/18	Benson Busstop by Zenith Bank	Ikorodu	Responded, addressed crash	2:49 AM	2:55 AM	6
333	4/24/18	Mobokyi Bank Anthony	Ikeja	Responded, addressed crash	8:25 AM	8:51 AM	26
