[6.5864894,3.9514578]	T junction,Epe	12/21/17
[6.551235900000001,3.3917632]	Gbagada express inward Oshodi under the Pedestrian Bridge,Shomolu	2/19/18
[6.5504536,3.3932235]	Trem b/s, Gbagada inward Oshodi,Shomolu	2/19/18
[6.5648705,3.3468695]	Taskforce Office, Oshodi,Oshodi Isolo	2/21/18
[6.545005,3.3800673]	Pedro rd inward Ladilak,Shomolu	2/2/18
[6.5705503,3.3536195]	Adekunle Fajuyi way P.W.S. by Railway Line,Ikeja	2/21/18
[6.6079455,3.3945695]	Mile 12 Diamond Bank,Kosofe	2/21/18
[6.612437000000001,3.441499]	Itowolo,Ikorodu	2/25/18
[6.6055663,3.400014]	Toyota Underbridge inward Mile 12,Kosofe	2/15/18
[6.4972384,3.3650049]	Stadium Underbridge,Surulere	2/12/18
[6.5151087,3.3886033]	Unilag waterfront from Iyana-Oworo into Lagos,Lagos Mainland	3/1/18
[6.4595389,3.3826433]	Apongbon Bridge,Lagos Island	2/26/18
[6.5773987,3.4015814]	Ogudu Ori-oke,Kosofe	2/28/18
[6.5193721,3.3696199]	Fadeyi b/stop inward Jibowu,Shomolu	2/23/18
[6.456275,3.2562178]	Abule Ado opposite Oando Filling Station ,Amuwo Odofin	2/18/18
[6.5923185,3.2909325]	Orelope Inward Egbeda,Alimosho	2/18/18
[6.620867199999999,3.3216856]	Olusanya Street, off Oniwaya ,Agege	2/19/18
[6.505908000000001,3.3236003]	Cele Express, Cele bus stop inward Ojota,Surulere	2/20/18
[6.6249472,3.3032145]	Arigbanla b/stop close to NYSC Camp Iyana Ipaja,Agege	2/24/18
[6.5564567,3.2800838]	Liasu road inward Canal outward Ile-Ife,Alimosho	2/24/18
[6.5409839,3.3674149]	Palmgrove b/stop,Shomolu	2/20/18
[6.543013999999999,3.393568]	Muritala Bus-stop, Jagunmolu st. Bariga,Shomolu	2/21/18
[6.5643389,3.3472453]	Bolade Safety Arena ,Oshodi Isolo	2/23/18
[6.5829306,3.3403158]	PWD b/stop inward,Ikeja	2/24/18
[6.5829306,3.3403158]	PWD b/stop inward,Ikeja	2/24/18
[6.5409839,3.3674149]	Palmgrove b/stop inward Fadeyi,Shomolu	2/7/18
[6.6055663,3.400014]	Irawo under bridge inward mile 12,Kosofe	2/6/18
[6.5059306,3.3778238]	Sabo road by Sawmill,Lagos Mainland	2/5/18
[6.4599636,3.303827]	Mazamaza inward Mile 2,Amuwo Odofin	2/6/18
[6.6116684,3.2892599]	Mosan Okunola inward Estate Ipaja BH Abesan,Alimosho	2/8/18
[6.5353107,3.3570449]	Sokunbi Street,Mushin	2/23/18
[6.6194131,3.5104537]	Inward Adamo ,Ikorodu	2/18/18
[6.610871599999999,3.411482]	Owode Onirin by Gedco College Inward,Ikorodu	2/16/18
[6.531492,3.3359385]	Ilasa bus stop inward Mile 2,Oshodi Isolo	2/17/18
[6.595771699999999,3.3849817]	Tipper garage inward Ketu,Kosofe	2/19/18
[6.5960309,3.3854333]	Ketu Tipper garage,Kosofe	2/19/18
[6.463470699999999,3.555718]	Elf b/stop inward Jakande,Eti Osa	2/13/18
[6.545401999999999,3.398535]	Iyana-Oworo Bus Stop,Shomolu	2/20/18
[6.5864894,3.9514578]	T Junction ,Epe	12/2/17
[6.595771699999999,3.3849817]	Tipper garage inward Ketu,Kosofe	2/19/18
[6.595771699999999,3.3849817]	Tipper Garage inward Ketu,Kosofe	2/19/18
[6.5960309,3.3854333]	Ketu Tipper Garage,Kosofe	2/19/18
[6.6407481,3.3433403]	Modupe eoundabout by Ajayi Road opp Excellent Hotel Igba,Ikeja	2/14/18
[6.586806699999999,3.3538694]	Otedola,Ikeja	2/21/18
[6.5814948,3.3763375]	New Garage jota inward Maryland,Kosofe	2/19/18
[6.6156866,3.5043409]	Ladega inward Itupate,Ikorodu	2/14/18
[6.5960309,3.3854333]	Ketu Tipper Garage,Kosofe	2/19/18
[6.5964432,3.3477542]	Motorway,Ikeja	2/19/18
[6.579534199999999,3.3813509]	Ojota inward 7up by Ojota b/stop,Kosofe	2/19/18
[6.5814948,3.3763375]	New Garage inward Ojota,Kosofe	2/13/18
[6.5785106,3.387836]	Ogudu Gbagada,Shomolu	2/12/18
[6.5785106,3.387836]	Ogudu inward Gbagada,Shomolu	2/12/18
[6.5785106,3.387836]	Ogudu inward Gbagada,Shomolu	2/12/18
[6.623709,3.358055]	Neca House,Ikeja	2/24/18
[6.6195112,3.4629867]	Majidun B/stop inward,Ikorodu	2/24/18
[6.6195112,3.4629867]	Majidun nB/stop inward,Ikorodu	2/24/18
[6.5462974,3.5433081]	Federal road, Bayeku,Ikorodu	2/24/18
[6.6559405,3.3228579]	Fagba opposite Providence Sch,Agege	2/24/18
[6.462391999999999,3.315932]	Mile 2 Underbridge,Amuwo Odofin	2/17/18
[6.59408,3.33625]	Ikeja Along inward RCC 21K,Ikeja	2/24/18
[6.59408,3.33625]	Ikeja Along inward RCC 21K,Ikeja	2/24/18
[6.59408,3.33625]	Ikeja Along inward RCC 21K,Ikeja	2/24/18
[6.6143166,3.5600529]	Eleshin busstop - Ijede,Ikorodu	2/18/18
[6.6432921,3.2884309]	Ekoro Bus-Stop inward Abule Egba,Alimosho	2/24/18
[6.5825751,3.3836573]	Ojota Before the bridge inward Ketu,Kosofe	2/15/18
[6.58859,3.287262]	Military Zone Bus-Stop along Idmu Ajbeda,Alimosho	2/21/18
[6.5449037,3.372159]	Pedro Road by Pedro Police Station ,Shomolu	2/24/18
[6.549563999999999,3.4017556]	New Garage inward Oworo,Shomolu	2/25/18
[6.588236299999999,3.3978098]	Ogudu Ifako inward Alapere,Ifako Ijaiye	2/21/18
[6.597497,3.386115]	Ketu inward Ojota,Kosofe	2/21/18
[6.5960309,3.3854333]	Tipper Ketu,Kosofe	2/21/18
[6.5608875,3.3924908]	Carwash Oworo,Shomolu	2/22/18
[6.555018899999999,3.3962023]	Iyana-Oworo Bus Stop,Kosofe	2/22/18
[6.555018899999999,3.3962023]	3Iyana-Oworo Bustop,Kosofe	2/22/18
[6.4786636,3.5700715]	Ado road inward Ajah,Eti Osa	2/20/18
[6.5719793,3.367272]	Maryland Bus-Stop in front of Shopping Mall,Ikeja	2/10/18
[6.6053337,3.2792438]	Dopemu b/s inward Iyana Ipaja,Agege	2/10/18
[6.649243999999999,3.2710745]	Ijaiye - Meiran B/S inward Toll Gate,Ifako Ijaiye	2/9/18
[6.478639599999999,3.3336703]	Coker Express Orile,Surulere	2/1/18
[6.533214,3.2598646]	Ijegun road inward Ikotun,Alimosho	2/9/18
[6.505984499999999,3.3776874]	Sabo Roundabout,Lagos Mainland	2/24/18
[6.6195112,3.4629867]	Majidun Bridge,Ikorodu	2/23/18
[6.6150598,3.4765747]	Majidun, inward Ikd,Ikorodu	2/24/18
[6.612437000000001,3.441499]	Itowolo,Ikorodu	2/25/18
[6.602335,3.33217]	Ikeja along Ile Zik,Ikeja	2/24/18
[6.6602118,3.2918859]	Ahmadiyya B/Stop,Ifako Ijaiye	2/24/18
[6.4961142,3.4001874]	3rd Mainland Bridge,Lagos Mainland	2/15/18
[6.537993999999999,3.3370113]	Toyota bus-stop by 5 star,Oshodi Isolo	2/9/18
[6.465894,3.561445]	Ilaje b/stop,Eti Osa	2/3/18
[6.462391999999999,3.315932]	Mile 2 B/S inward Mile 2,Amuwo Odofin	2/2/18
[6.4601655,3.1980776]	Sunny Bus-Stop Ojo,Ojo	2/24/18
[6.623315499999999,3.3645663]	Lagos Ibadan Expressway by Mobil Filling Station,Ikeja	2/26/18
[6.571975999999999,3.3970521]	Ojudu by Pako bus/stop,Kosofe	2/25/18
